No.,Time,Source,Destination,Protocol,Length,Info
607,30.867797,10.82.126.202,52.155.169.137,TCP,66,1957  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
608,30.870336,10.82.126.202,2.17.115.33,TCP,54,"1953  >  80 [FIN, ACK] Seq=312 Ack=10127 Win=131328 Len=0"
610,30.871256,10.82.126.202,2.17.115.33,TCP,54,1953  >  80 [ACK] Seq=313 Ack=10128 Win=131328 Len=0
611,30.875279,10.82.126.202,193.60.199.98,DNS,94,Standard query 0xf3ab A 3.tlu.dl.delivery.mp.microsoft.com
613,30.876853,10.82.126.202,52.212.19.105,TCP,54,1956  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0
614,30.8776,10.82.126.202,52.212.19.105,TLSv1.2,571,Client Hello
617,30.883935,10.82.126.202,52.155.169.137,TCP,54,1957  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0
618,30.884278,10.82.126.202,52.155.169.137,TLSv1.2,273,Client Hello
619,30.89009,10.82.126.202,8.238.55.254,TCP,66,1959  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
620,30.890917,10.82.126.202,67.26.43.254,TCP,66,1961  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
622,30.892093,10.82.126.202,67.26.43.254,TCP,54,1961  >  80 [ACK] Seq=1 Ack=1 Win=131328 Len=0
623,30.892315,10.82.126.202,67.26.43.254,HTTP,476,GET /filestreamingservice/files/16408c09-f339-4f0a-b0ad-c629da82dd25?P1=1600754428&P2=402&P3=2&P4=PqGdbomzs7AGg%2fukbhONiiOvbsQRox7gcH5B8WjxlKqYREVLT%2bkGPvKB3abJCSaAimGPscWxgHiLbh%2fNStkOwQ%3d%3d HTTP/1.1 
624,30.892342,10.82.126.202,52.213.158.68,TLSv1.2,271,Application Data
625,30.892385,10.82.126.202,52.213.158.68,TLSv1.2,333,Application Data
630,30.898158,10.82.126.202,52.212.19.105,TCP,54,1956  >  443 [ACK] Seq=518 Ack=2601 Win=65535 Len=0
633,30.898398,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=1 Ack=1 Win=131328 Len=0
634,30.898745,10.82.126.202,8.238.55.254,HTTP,476,GET /filestreamingservice/files/16408c09-f339-4f0a-b0ad-c629da82dd25?P1=1600754428&P2=402&P3=2&P4=PqGdbomzs7AGg%2fukbhONiiOvbsQRox7gcH5B8WjxlKqYREVLT%2bkGPvKB3abJCSaAimGPscWxgHiLbh%2fNStkOwQ%3d%3d HTTP/1.1 
635,30.899428,10.82.126.202,52.212.19.105,TLSv1.2,180,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
640,30.901166,10.82.126.202,52.155.169.137,TCP,54,1957  >  443 [ACK] Seq=220 Ack=3853 Win=131328 Len=0
641,30.904439,10.82.126.202,52.155.169.137,TLSv1.2,212,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
645,30.913354,10.82.126.202,8.238.55.254,HTTP,492,GET /filestreamingservice/files/16408c09-f339-4f0a-b0ad-c629da82dd25?P1=1600754428&P2=402&P3=2&P4=PqGdbomzs7AGg%2fukbhONiiOvbsQRox7gcH5B8WjxlKqYREVLT%2bkGPvKB3abJCSaAimGPscWxgHiLbh%2fNStkOwQ%3d%3d HTTP/1.1 
647,30.916115,10.82.126.202,52.212.19.105,TLSv1.2,271,Application Data
648,30.916166,10.82.126.202,52.212.19.105,TLSv1.2,210,Application Data
652,30.921042,10.82.126.202,52.155.169.137,TCP,54,1957  >  443 [ACK] Seq=378 Ack=3973 Win=131072 Len=0
653,30.921546,10.82.126.202,52.155.169.137,TLSv1.2,141,Application Data
654,30.921609,10.82.126.202,52.155.169.137,TLSv1.2,336,Application Data
655,30.921692,10.82.126.202,52.155.169.137,TLSv1.2,92,Application Data
657,30.921743,10.82.126.202,52.155.169.137,TCP,1452,1957  >  443 [ACK] Seq=785 Ack=3973 Win=131072 Len=1398 [TCP segment of a reassembled PDU]
658,30.921743,10.82.126.202,52.155.169.137,TCP,1452,1957  >  443 [ACK] Seq=2183 Ack=3973 Win=131072 Len=1398 [TCP segment of a reassembled PDU]
659,30.921743,10.82.126.202,52.155.169.137,TCP,1452,1957  >  443 [ACK] Seq=3581 Ack=3973 Win=131072 Len=1398 [TCP segment of a reassembled PDU]
660,30.921743,10.82.126.202,52.155.169.137,TCP,1452,1957  >  443 [ACK] Seq=4979 Ack=3973 Win=131072 Len=1398 [TCP segment of a reassembled PDU]
661,30.921743,10.82.126.202,52.155.169.137,TCP,1452,1957  >  443 [ACK] Seq=6377 Ack=3973 Win=131072 Len=1398 [TCP segment of a reassembled PDU]
662,30.921743,10.82.126.202,52.155.169.137,TLSv1.2,388,Application Data
664,30.921862,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=2481 Win=131328 Len=0
667,30.921957,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=5277 Win=131328 Len=0
671,30.922244,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=6825 Win=131328 Len=0
675,30.922973,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=9671 Win=131328 Len=0
680,30.925122,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=15263 Win=131328 Len=0
683,30.925405,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=17697 Win=131328 Len=0
689,30.934551,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=22041 Win=131328 Len=0
696,30.934751,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=26385 Win=131328 Len=0
700,30.93485,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=27833 Win=131328 Len=0
705,30.937474,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=33425 Win=131328 Len=0
708,30.937593,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=36221 Win=131328 Len=0
712,30.937751,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=40415 Win=131328 Len=0
717,30.93792,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=46007 Win=131328 Len=0
722,30.938063,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=50201 Win=131328 Len=0
729,30.939327,10.82.126.202,52.155.169.137,TCP,54,1957  >  443 [ACK] Seq=8109 Ack=4066 Win=131072 Len=0
732,30.939471,10.82.126.202,52.155.169.137,TCP,54,1957  >  443 [ACK] Seq=8109 Ack=4176 Win=131072 Len=0
735,30.939725,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=51599 Win=131328 Len=0
742,30.940748,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=59987 Win=131328 Len=0
748,30.940927,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=66977 Win=131328 Len=0
750,30.941656,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=68375 Win=131328 Len=0
756,30.942429,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=75365 Win=131328 Len=0
759,30.942524,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=78161 Win=131328 Len=0
764,30.942866,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=83753 Win=131328 Len=0
766,30.943027,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=85151 Win=131328 Len=0
769,30.943884,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=87947 Win=131328 Len=0
772,30.94408,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=90743 Win=131328 Len=0
777,30.944282,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=96335 Win=131328 Len=0
781,30.945238,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=100529 Win=131328 Len=0
790,30.945758,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=110315 Win=131328 Len=0
791,30.94584,10.82.126.202,52.155.169.137,TCP,54,1957  >  443 [ACK] Seq=8109 Ack=5616 Win=131328 Len=0
796,30.946223,10.82.126.202,52.155.169.137,TCP,54,1957  >  443 [ACK] Seq=8109 Ack=8036 Win=131328 Len=0
799,30.946378,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=114509 Win=131328 Len=0
807,30.946577,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=124295 Win=131328 Len=0
810,30.947308,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=127091 Win=131328 Len=0
816,30.948128,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=134081 Win=131328 Len=0
818,30.948229,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=135479 Win=131328 Len=0
823,30.948399,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=141071 Win=131328 Len=0
825,30.948579,10.82.126.202,52.155.169.137,TCP,54,"1957  >  443 [FIN, ACK] Seq=8109 Ack=8036 Win=131328 Len=0"
830,30.949826,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=148061 Win=131328 Len=0
835,30.949948,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=153653 Win=131328 Len=0
837,30.950075,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=155051 Win=131328 Len=0
843,30.95134,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=162041 Win=131328 Len=0
845,30.951445,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=163439 Win=131328 Len=0
849,30.9516,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=167633 Win=131328 Len=0
852,30.951736,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=170429 Win=131328 Len=0
854,30.952667,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=171827 Win=131328 Len=0
858,30.952837,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=176021 Win=131328 Len=0
863,30.953021,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=181613 Win=131328 Len=0
868,30.954394,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=187205 Win=131328 Len=0
877,30.954703,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=198389 Win=131328 Len=0
880,30.954873,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=201185 Win=131328 Len=0
885,30.955965,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=206777 Win=131328 Len=0
890,30.956161,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=212369 Win=131328 Len=0
895,30.956646,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=217961 Win=131328 Len=0
900,30.956797,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=223553 Win=131328 Len=0
905,30.956961,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=229145 Win=131328 Len=0
908,30.957104,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=231941 Win=131328 Len=0
910,30.957229,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=233339 Win=131328 Len=0
915,30.958283,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=238931 Win=131328 Len=0
918,30.958609,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=241727 Win=131328 Len=0
924,30.959577,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=248717 Win=131328 Len=0
931,30.959743,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=257105 Win=131328 Len=0
935,30.959884,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=261299 Win=131328 Len=0
939,30.960017,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=265493 Win=131328 Len=0
941,30.960186,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=266891 Win=131328 Len=0
946,30.960414,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=272483 Win=131328 Len=0
949,30.96061,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=275279 Win=131328 Len=0
950,30.960752,10.82.126.202,67.26.43.254,TCP,54,1961  >  80 [ACK] Seq=423 Ack=1033 Win=130304 Len=0
951,30.960786,10.82.126.202,52.213.158.68,TCP,54,1925  >  443 [ACK] Seq=1510 Ack=3884 Win=261088 Len=0
956,30.961637,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=280871 Win=131328 Len=0
959,30.961833,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=283667 Win=131328 Len=0
964,30.962244,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=289259 Win=131328 Len=0
970,30.962475,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=296249 Win=131328 Len=0
973,30.962602,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=299045 Win=131328 Len=0
977,30.962768,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=303239 Win=131328 Len=0
982,30.962969,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=308831 Win=131328 Len=0
985,30.963106,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=311627 Win=131328 Len=0
990,30.963767,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=317219 Win=131328 Len=0
993,30.964291,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=320015 Win=131328 Len=0
999,30.964741,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=327005 Win=131328 Len=0
1008,30.965099,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=338189 Win=131328 Len=0
1013,30.96603,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=343781 Win=131328 Len=0
1017,30.966188,10.82.126.202,52.155.169.137,TCP,54,1957  >  443 [ACK] Seq=8110 Ack=8037 Win=131328 Len=0
1018,30.966221,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=346577 Win=131328 Len=0
1021,30.966339,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=349373 Win=131328 Len=0
1026,30.967377,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=354965 Win=131328 Len=0
1030,30.967492,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=359159 Win=131328 Len=0
1034,30.967649,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=363353 Win=131328 Len=0
1036,30.969352,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=364751 Win=131328 Len=0
1040,30.969489,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=368945 Win=131328 Len=0
1045,30.96956,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=374537 Win=131328 Len=0
1047,30.969677,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=375935 Win=131328 Len=0
1051,30.969739,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=380129 Win=131328 Len=0
1053,30.969849,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=381527 Win=131328 Len=0
1057,30.969908,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=385721 Win=131328 Len=0
1059,30.970024,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=387119 Win=131328 Len=0
1063,30.970285,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=391313 Win=131328 Len=0
1065,30.970392,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=392711 Win=131328 Len=0
1070,30.970551,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=398303 Win=131328 Len=0
1074,30.97061,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=402497 Win=131328 Len=0
1076,30.970727,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=403895 Win=131328 Len=0
1080,30.973046,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=408089 Win=131328 Len=0
1085,30.973117,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=413681 Win=131328 Len=0
1087,30.973234,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=415079 Win=131328 Len=0
1093,30.974174,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=422069 Win=131328 Len=0
1097,30.97429,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=426263 Win=262656 Len=0
1102,30.974357,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=431855 Win=262656 Len=0
1107,30.974636,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=437447 Win=262656 Len=0
1111,30.974755,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=441641 Win=262656 Len=0
1116,30.974821,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=447233 Win=262656 Len=0
1118,30.975107,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=448631 Win=262656 Len=0
1122,30.975243,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=452825 Win=262656 Len=0
1127,30.975312,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=458417 Win=262656 Len=0
1129,30.975427,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=459815 Win=262656 Len=0
1133,30.979709,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=464009 Win=262656 Len=0
1136,30.979801,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=466805 Win=262656 Len=0
1141,30.979963,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=472397 Win=262656 Len=0
1145,30.980103,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=476591 Win=262656 Len=0
1151,30.980963,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=483581 Win=262656 Len=0
1155,30.981079,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=487775 Win=262656 Len=0
1160,30.981151,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=493367 Win=525568 Len=0
1163,30.981293,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=496163 Win=525568 Len=0
1167,30.981347,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=500357 Win=525568 Len=0
1169,30.981457,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=501755 Win=1053952 Len=0
1173,30.98152,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=505949 Win=1053952 Len=0
1175,30.981793,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=507347 Win=1053952 Len=0
1179,30.981934,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=511541 Win=1053952 Len=0
1184,30.982078,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=517133 Win=1053952 Len=0
1188,30.982215,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=521327 Win=1053952 Len=0
1191,30.982343,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=524123 Win=1053952 Len=0
1192,30.985079,10.82.126.202,52.212.19.105,TCP,54,1956  >  443 [ACK] Seq=1017 Ack=3553 Win=65535 Len=0
1197,30.986299,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=529715 Win=1053952 Len=0
1200,30.986447,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=532511 Win=1053952 Len=0
1216,30.987394,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=553481 Win=1053952 Len=0
1232,30.987928,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=574451 Win=1053952 Len=0
1235,30.988718,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=577247 Win=1053952 Len=0
1240,30.988854,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=582839 Win=1053952 Len=0
1244,30.989638,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=587033 Win=1053952 Len=0
1249,30.990246,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=592625 Win=1053952 Len=0
